# event;subevent;status;phid;time;geo;pos dist; time dist;speed;user0
FA-99EC6FA2-AF45-4367-A85E-B3FADFA8791B;3NDVVYDW70;owner;6B3E6949-FE03-46C2-ACE9-C530F0FD78AB/L0/001;06/01/2019 13:18:08;40.29535 48.35222;0.19624;1.50432;0.13045;False
FA-99EC6FA2-AF45-4367-A85E-B3FADFA8791B;E9XR7OMC5W;owner;C2F84A88-0D38-4169-9D49-31CA3DBF96BD/L0/001;06/01/2019 14:48:23;40.29309 48.3513 ;0.05964;0.15052;0.39620;False
FA-99EC6FA2-AF45-4367-A85E-B3FADFA8791B;E9XR7OMC5W;owner;C051D6DB-23F9-4C2A-B132-60F751388B30/L0/001;06/01/2019 14:57:25;40.29298 48.35077;0.01418;0.00297;0.17011;False
FA-99EC6FA2-AF45-4367-A85E-B3FADFA8791B;E9XR7OMC5W;owner;B1C0986B-CF5F-4340-910A-9B9374188C57/L0/001;06/01/2019 14:57:36;40.29305 48.35089;0.01191;0.00844;0.14297;False
FA-99EC6FA2-AF45-4367-A85E-B3FADFA8791B;E9XR7OMC5W;owner;08448765-A853-41C9-AB20-55CBE65217EA/L0/001;06/01/2019 14:58:06;40.29295 48.35097;0.32234;1.39262;0.23146;False
FA-9696985A-D8F1-4E2D-B3CE-BB1C5C368F66;ZL7Z4THSWZ;owner;AC77E19B-4DDA-47A3-BE99-8492EFDC6F5B/L0/001;06/01/2019 16:21:40;40.29693 48.35216;0.10777;1.31771;0.08179;False
FA-9696985A-D8F1-4E2D-B3CE-BB1C5C368F66;8XFRSQSDZW;owner;DE35FD65-0273-4347-BFEC-DCBD95B727DC/L0/001;06/01/2019 17:40:43;40.29551 48.35194;0.00171;0.00220;0.02049;False
FA-9696985A-D8F1-4E2D-B3CE-BB1C5C368F66;8XFRSQSDZW;owner;155CF2A4-DA88-41DA-9DE1-0478577272CF/L0/001;06/01/2019 17:40:51;40.2955  48.35195;0.00000;0.00585;0.00000;False
FA-9696985A-D8F1-4E2D-B3CE-BB1C5C368F66;8XFRSQSDZW;owner;6A475C8D-E055-427D-927D-A3F14CC99E06/L0/001;06/01/2019 17:41:12;40.2955  48.35195;105.51371;165.60488;0.63714;False
FA-59943790-0A4F-4881-A5FC-5FA1E6E45021;BROC6YAUUF;owner;42E3D69F-72F5-4FE0-BC80-442A5B46F0A5/L0/001;07/30/2019 16:41:18;39.93513 43.41178;0.26268;0.36611;0.71749;False
FA-59943790-0A4F-4881-A5FC-5FA1E6E45021;BROC6YAUUF;owner;40B1EDDD-20B2-4B89-88CA-6627CBC66866/L0/001;07/30/2019 17:03:16;39.9363  43.40957;0.01829;0.06503;0.21953;False
FA-59943790-0A4F-4881-A5FC-5FA1E6E45021;BROC6YAUUF;owner;5D2038F3-556E-4E75-A8B0-BBE1A4F7AE41/L0/001;07/30/2019 17:07:10;39.93624 43.40941;0.00000;0.00191;0.00000;False
FA-59943790-0A4F-4881-A5FC-5FA1E6E45021;BROC6YAUUF;owner;0BE72D93-1735-4D72-A2D2-1C8A75BD8BEA/L0/001;07/30/2019 17:07:17;39.93624 43.40941;0.00000;0.00488;0.00000;False
FA-59943790-0A4F-4881-A5FC-5FA1E6E45021;BROC6YAUUF;owner;AA847035-FE64-4794-BDA8-7FC275B20B6E/L0/001;07/30/2019 17:07:34;39.93624 43.40941;445.02326;0.57876;768.93093;False
FA-59943790-0A4F-4881-A5FC-5FA1E6E45021;31DTAQ0W3U;guest;8043430A-85F9-40BF-B7FC-FD1D705928EB/L0/001;07/30/2019 17:42:18;40.09038 47.41265;0.00058;0.00042;0.00691;True
FA-59943790-0A4F-4881-A5FC-5FA1E6E45021;31DTAQ0W3U;guest;8F2C2A52-762F-47D4-89E2-3F660BAFC1B0/L0/001;07/30/2019 17:42:19;40.09037 47.41265;0.00047;0.00083;0.00563;True
FA-59943790-0A4F-4881-A5FC-5FA1E6E45021;31DTAQ0W3U;guest;3222D53A-339B-4A45-8FC6-2C15E37A114E/L0/001;07/30/2019 17:42:22;40.09037 47.41266;0.00689;0.00376;0.08262;True
FA-59943790-0A4F-4881-A5FC-5FA1E6E45021;31DTAQ0W3U;guest;40EBEDB5-6900-4D0E-A514-E97A6F7AD924/L0/001;07/30/2019 17:42:36;40.09039 47.4126 ;0.00068;0.00064;0.00810;True
FA-59943790-0A4F-4881-A5FC-5FA1E6E45021;31DTAQ0W3U;guest;476D3C99-A405-4ED1-B968-7CED9C72E8D8/L0/001;07/30/2019 17:42:38;40.09038 47.4126 ;0.00312;0.00093;0.03740;True
FA-59943790-0A4F-4881-A5FC-5FA1E6E45021;31DTAQ0W3U;guest;E882B025-43AD-4E36-8918-246CA7081909/L0/001;07/30/2019 17:42:41;40.09036 47.41262;0.01391;0.00108;0.16695;True
FA-59943790-0A4F-4881-A5FC-5FA1E6E45021;31DTAQ0W3U;guest;C027D34E-1F00-4BCC-931A-DFB8275B339E/L0/001;07/30/2019 17:42:45;40.09019 47.41258;0.01420;0.03241;0.17039;True
FA-59943790-0A4F-4881-A5FC-5FA1E6E45021;31DTAQ0W3U;guest;F3D641D4-1330-442C-A54B-8507E7E21A6B/L0/001;07/30/2019 17:44:42;40.09003 47.41251;0.00881;0.00214;0.10569;True
FA-59943790-0A4F-4881-A5FC-5FA1E6E45021;31DTAQ0W3U;guest;31B07866-FEE7-4961-96C6-61B3AAED3C64/L0/001;07/30/2019 17:44:50;40.08992 47.41249;444.77842;11.15611;39.86861;True
FA-FEE9F211-6078-45F1-BA57-2A9947A5FEDF;QCAFX5UF3H;guest;3A0133A2-B8EA-40D4-8EF5-2A7F14E5D6BF/L0/001;08/05/2019 13:21:47;39.93653 43.4097 ;0.00000;0.00000;0.00000;True
FA-FEE9F211-6078-45F1-BA57-2A9947A5FEDF;QCAFX5UF3H;guest;88AEE869-8B28-4B2F-87E0-86F64E271864/L0/001;08/05/2019 13:21:47;39.93653 43.4097 ;0.00707;0.18785;0.03764;True
FA-FEE9F211-6078-45F1-BA57-2A9947A5FEDF;QCAFX5UF3H;guest;6F56F51B-74D6-4ACC-9003-D22D0C2B8F11/L0/001;08/05/2019 13:33:03;39.93652 43.40976;0.00000;0.00000;0.00000;True
